V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
278.562	278.641	278.710	278.770	278.822	278.867	278.906	278.938	278.966	278.989	279.007	279.022	279.032	279.039	279.043
282.413	282.049	281.732	281.456	281.217	281.011	280.834	280.683	280.556	280.451	280.367	280.300	280.252	280.220	280.204
282.816	282.406	282.048	281.737	281.468	281.235	281.036	280.866	280.723	280.605	280.509	280.434	280.379	280.343	280.325
283.081	282.640	282.256	281.922	281.632	281.382	281.168	280.986	280.832	280.705	280.602	280.522	280.463	280.424	280.405
285.272	284.579	283.975	283.450	282.995	282.602	282.265	281.979	281.737	281.538	281.376	281.250	281.157	281.096	281.066
289.383	288.217	287.201	286.317	285.551	284.890	284.323	283.841	283.435	283.099	282.827	282.615	282.459	282.356	282.305
287.975	286.971	286.096	285.335	284.676	284.107	283.619	283.203	282.854	282.565	282.330	282.148	282.013	281.925	281.881
279.193	279.200	279.206	279.211	279.215	279.218	279.222	279.224	279.227	279.228	279.230	279.231	279.232	279.233	279.233
280.436	280.299	280.180	280.077	279.987	279.910	279.844	279.787	279.740	279.700	279.669	279.644	279.625	279.613	279.608
282.589	282.205	281.870	281.579	281.327	281.109	280.922	280.763	280.629	280.519	280.429	280.359	280.308	280.274	280.257
281.699	281.417	281.172	280.958	280.773	280.613	280.476	280.360	280.262	280.180	280.115	280.063	280.026	280.001	279.988
283.586	283.087	282.652	282.274	281.946	281.663	281.421	281.215	281.041	280.897	280.781	280.690	280.623	280.579	280.557
285.194	284.510	283.914	283.395	282.946	282.559	282.226	281.943	281.705	281.508	281.348	281.224	281.132	281.072	281.042
284.641	284.021	283.480	283.010	282.603	282.251	281.949	281.693	281.477	281.298	281.153	281.040	280.957	280.903	280.876
286.039	285.258	284.577	283.985	283.472	283.029	282.650	282.326	282.054	281.829	281.647	281.505	281.400	281.331	281.297
286.811	285.941	285.183	284.523	283.952	283.459	283.036	282.676	282.373	282.122	281.919	281.761	281.644	281.568	281.530
290.067	288.823	287.738	286.795	285.977	285.271	284.666	284.151	283.718	283.359	283.069	282.843	282.676	282.566	282.512
287.911	286.914	286.046	285.291	284.636	284.071	283.586	283.174	282.827	282.540	282.308	282.126	281.993	281.905	281.862
291.103	289.739	288.551	287.517	286.621	285.848	285.185	284.621	284.146	283.753	283.435	283.186	283.004	282.884	282.824
289.427	288.256	287.236	286.348	285.579	284.915	284.346	283.861	283.454	283.116	282.843	282.630	282.473	282.370	282.319
286.863	285.987	285.224	284.560	283.984	283.488	283.062	282.699	282.395	282.142	281.938	281.778	281.661	281.584	281.546
285.046	284.379	283.798	283.292	282.854	282.476	282.152	281.876	281.644	281.452	281.296	281.175	281.086	281.027	280.998
281.811	281.516	281.259	281.036	280.843	280.676	280.532	280.410	280.308	280.223	280.154	280.101	280.061	280.035	280.022
281.990	281.675	281.400	281.161	280.954	280.775	280.622	280.491	280.382	280.291	280.217	280.160	280.118	280.090	280.076
