V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
283.632	283.055	282.552	282.114	281.735	281.408	281.127	280.889	280.688	280.521	280.387	280.282	280.204	280.154	280.128
284.024	283.402	282.860	282.388	281.979	281.626	281.324	281.066	280.850	280.670	280.525	280.412	280.329	280.274	280.247
282.857	282.369	281.944	281.574	281.253	280.977	280.739	280.538	280.368	280.227	280.113	280.024	279.959	279.916	279.895
281.528	281.193	280.901	280.647	280.427	280.237	280.074	279.936	279.819	279.722	279.644	279.583	279.538	279.509	279.494
281.576	281.235	280.939	280.680	280.457	280.264	280.098	279.957	279.839	279.740	279.661	279.599	279.553	279.523	279.509
280.836	280.580	280.358	280.164	279.996	279.851	279.727	279.622	279.533	279.459	279.400	279.353	279.319	279.296	279.285
281.404	281.083	280.803	280.560	280.349	280.168	280.012	279.879	279.767	279.675	279.600	279.542	279.499	279.471	279.457
281.922	281.542	281.210	280.922	280.672	280.457	280.272	280.114	279.982	279.872	279.783	279.714	279.663	279.630	279.613
282.494	282.048	281.659	281.321	281.028	280.775	280.558	280.373	280.218	280.089	279.985	279.904	279.844	279.805	279.785
283.829	283.229	282.706	282.252	281.858	281.518	281.226	280.978	280.769	280.596	280.456	280.347	280.267	280.214	280.188
284.951	284.222	283.587	283.034	282.555	282.142	281.788	281.486	281.233	281.022	280.852	280.720	280.622	280.558	280.526
286.060	285.203	284.457	283.808	283.245	282.760	282.343	281.989	281.691	281.444	281.244	281.088	280.973	280.898	280.861
286.313	285.427	284.656	283.984	283.402	282.900	282.470	282.103	281.795	281.540	281.333	281.172	281.054	280.976	280.937
286.477	285.572	284.784	284.099	283.504	282.992	282.552	282.178	281.863	281.602	281.391	281.227	281.105	281.026	280.986
285.800	284.974	284.253	283.627	283.084	282.615	282.213	281.871	281.583	281.345	281.152	281.002	280.891	280.818	280.782
284.255	283.607	283.041	282.549	282.123	281.755	281.440	281.171	280.945	280.758	280.607	280.489	280.402	280.345	280.316
285.258	284.494	283.828	283.248	282.746	282.313	281.942	281.625	281.359	281.139	280.961	280.822	280.719	280.652	280.619
285.007	284.272	283.631	283.073	282.590	282.173	281.816	281.512	281.256	281.044	280.872	280.738	280.640	280.575	280.543
285.659	284.849	284.142	283.528	282.996	282.536	282.142	281.807	281.525	281.292	281.103	280.955	280.846	280.775	280.740
284.914	284.190	283.558	283.009	282.533	282.122	281.770	281.470	281.218	281.009	280.840	280.708	280.611	280.547	280.515
285.153	284.401	283.746	283.176	282.681	282.255	281.889	281.578	281.316	281.099	280.924	280.787	280.686	280.620	280.587
285.415	284.633	283.951	283.358	282.844	282.401	282.021	281.697	281.425	281.199	281.017	280.874	280.769	280.700	280.666
285.801	284.974	284.254	283.627	283.084	282.615	282.214	281.872	281.584	281.345	281.153	281.002	280.891	280.819	280.783
286.525	285.615	284.822	284.132	283.534	283.019	282.576	282.200	281.883	281.621	281.408	281.243	281.121	281.041	281.001
286.559	285.646	284.849	284.156	283.556	283.038	282.593	282.215	281.897	281.634	281.421	281.254	281.132	281.051	281.011
