V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
279.630	278.888	278.241	277.678	277.191	276.770	276.409	276.102	275.843	275.629	275.456	275.321	275.222	275.156	275.124
280.370	279.543	278.822	278.194	277.651	277.182	276.779	276.437	276.149	275.910	275.717	275.567	275.456	275.383	275.347
284.848	283.505	282.335	281.317	280.435	279.674	279.021	278.466	277.998	277.611	277.298	277.054	276.874	276.756	276.697
283.369	282.197	281.175	280.286	279.516	278.851	278.281	277.796	277.388	277.050	276.776	276.563	276.406	276.302	276.251
281.629	280.657	279.809	279.072	278.433	277.882	277.409	277.007	276.669	276.389	276.162	275.985	275.855	275.769	275.726
281.104	280.192	279.398	278.706	278.107	277.590	277.147	276.770	276.452	276.189	275.977	275.811	275.688	275.608	275.568
276.067	275.734	275.445	275.193	274.974	274.786	274.624	274.487	274.371	274.275	274.198	274.137	274.093	274.064	274.049
283.680	282.472	281.418	280.503	279.709	279.024	278.436	277.936	277.516	277.168	276.886	276.666	276.504	276.398	276.345
291.215	289.140	287.331	285.758	284.395	283.219	282.210	281.351	280.629	280.030	279.546	279.169	278.891	278.708	278.617
294.973	292.466	290.280	288.379	286.732	285.310	284.091	283.054	282.181	281.458	280.873	280.416	280.081	279.860	279.750
284.175	282.910	281.807	280.848	280.017	279.300	278.685	278.161	277.721	277.356	277.061	276.831	276.661	276.550	276.494
280.247	279.434	278.725	278.109	277.574	277.113	276.718	276.381	276.098	275.864	275.674	275.526	275.417	275.345	275.310
280.471	279.632	278.901	278.265	277.713	277.238	276.830	276.483	276.191	275.949	275.753	275.600	275.488	275.414	275.377
286.316	284.805	283.487	282.342	281.349	280.492	279.757	279.131	278.605	278.169	277.817	277.542	277.339	277.206	277.140
290.982	288.934	287.148	285.596	284.250	283.089	282.093	281.245	280.532	279.942	279.464	279.091	278.817	278.636	278.547
296.434	293.759	291.427	289.398	287.640	286.124	284.823	283.716	282.784	282.013	281.389	280.902	280.543	280.308	280.191
299.297	296.293	293.673	291.395	289.421	287.717	286.256	285.013	283.967	283.101	282.400	281.853	281.450	281.185	281.054
297.887	295.045	292.567	290.412	288.544	286.933	285.550	284.374	283.384	282.565	281.902	281.384	281.004	280.753	280.629
292.853	290.590	288.617	286.901	285.414	284.130	283.030	282.093	281.305	280.653	280.125	279.713	279.409	279.210	279.111
293.509	291.170	289.131	287.358	285.821	284.495	283.358	282.390	281.576	280.902	280.356	279.930	279.617	279.411	279.309
295.321	292.774	290.553	288.622	286.948	285.504	284.265	283.211	282.324	281.590	280.996	280.532	280.191	279.966	279.855
290.684	288.670	286.914	285.387	284.064	282.923	281.943	281.110	280.409	279.828	279.359	278.992	278.722	278.545	278.457
282.454	281.387	280.456	279.647	278.946	278.341	277.822	277.381	277.010	276.702	276.453	276.259	276.116	276.022	275.975
281.161	280.242	279.442	278.746	278.142	277.622	277.175	276.795	276.475	276.211	275.997	275.829	275.706	275.625	275.585
283.210	282.056	281.050	280.175	279.417	278.762	278.201	277.724	277.322	276.989	276.720	276.510	276.355	276.254	276.203
283.327	282.160	281.142	280.257	279.490	278.828	278.260	277.777	277.370	277.034	276.761	276.549	276.392	276.290	276.239
289.625	287.733	286.083	284.649	283.406	282.333	281.413	280.630	279.972	279.426	278.985	278.640	278.387	278.220	278.137
288.487	286.726	285.190	283.855	282.698	281.700	280.843	280.115	279.501	278.994	278.583	278.262	278.026	277.871	277.794
281.581	280.614	279.771	279.039	278.403	277.855	277.385	276.985	276.649	276.370	276.145	275.969	275.839	275.754	275.712
281.191	280.269	279.466	278.767	278.161	277.639	277.190	276.809	276.488	276.222	276.007	275.839	275.716	275.635	275.594
281.137	280.222	279.423	278.729	278.128	277.609	277.163	276.784	276.466	276.202	275.988	275.822	275.699	275.618	275.578
