survey_year	n_nh4	type
2020	0.100000000	Measured
2020	0.085000000	Measured
2020	0.100000000	Measured
2020	1.282000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	2.000000000	Measured
2020	0.056000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.023000000	Measured
2020	0.017000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.023000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.538000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	         NA	Measured
2020	         NA	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.022000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	         NA	Measured
2020	         NA	Measured
2020	         NA	Measured
2020	         NA	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.177000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	         NA	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.027000000	Measured
2020	0.438000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.458000000	Measured
2020	0.596000000	Measured
2020	0.100000000	Measured
2020	0.053000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.141000000	Measured
2020	0.018000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.022000000	Measured
2020	0.119000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.072000000	Measured
2020	0.030000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.015000000	Measured
2020	0.015000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.053000000	Measured
2020	0.034000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.294000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.015000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.829000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.029000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.021000000	Measured
2020	0.022000000	Measured
2020	0.030000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.042000000	Measured
2020	0.100000000	Measured
2020	0.180000000	Measured
2020	         NA	Measured
2020	0.100000000	Measured
2020	0.100000000	Measured
2020	0.057000000	Measured
2020	5.811000000	Measured
2020	0.942000000	Measured
2020	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.110000000	Measured
2021	0.182000000	Measured
2021	0.100000000	Measured
2021	0.012000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.086000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.035000000	Measured
2021	0.100000000	Measured
2021	0.635000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.255000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.018000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.056000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.010000000	Measured
2021	0.100000000	Measured
2021	0.011000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.058000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.109000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.676000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.122000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.011000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	1.528000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.132000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.131000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.019000000	Measured
2021	0.100000000	Measured
2021	0.097000000	Measured
2021	0.100000000	Measured
