survey_year	n_no3	type
2020	-1.000000	Measured
2020	       NA	Measured
2020	19.995000	Measured
2020	 0.147000	Measured
2020	       NA	Measured
2020	-1.000000	Measured
2020	23.605000	Measured
2020	10.100000	Measured
2020	 0.042000	Measured
2020	 0.174000	Measured
2020	       NA	Measured
2020	 6.442000	Measured
2020	18.095000	Measured
2020	 0.057000	Measured
2020	 0.162000	Measured
2020	-1.000000	Measured
2020	 0.076000	Measured
2020	-1.000000	Measured
2020	 2.227000	Measured
2020	-1.000000	Measured
2020	 1.942000	Measured
2020	-1.000000	Measured
2020	 2.343000	Measured
2020	 0.244000	Measured
2020	 7.360000	Measured
2020	20.470000	Measured
2020	 0.050000	Measured
2020	23.330000	Measured
2020	 3.860000	Measured
2020	16.270000	Measured
2020	 0.827000	Measured
2020	15.610000	Measured
2020	-1.000000	Measured
2020	 1.907000	Measured
2020	 9.495000	Measured
2020	 1.670000	Measured
2020	       NA	Measured
2020	 7.152000	Measured
2020	 3.290000	Measured
2020	-1.000000	Measured
2020	11.835000	Measured
2020	 3.191000	Measured
2020	 2.161000	Measured
2020	 1.040000	Measured
2020	       NA	Measured
2020	15.025000	Measured
2020	 0.045000	Measured
2020	       NA	Measured
2020	 2.423000	Measured
2020	       NA	Measured
2020	 7.542000	Measured
2020	 2.299000	Measured
2020	 0.794000	Measured
2020	23.290000	Measured
2020	 0.039000	Measured
2020	 0.425000	Measured
2020	       NA	Measured
2020	 8.740000	Measured
2020	 7.729000	Measured
2020	-1.000000	Measured
2020	 0.612000	Measured
2020	 0.111000	Measured
2020	 3.917000	Measured
2020	 0.794000	Measured
2020	 7.564000	Measured
2020	34.425000	Measured
2020	 2.519000	Measured
2020	 0.112000	Measured
2020	 0.039000	Measured
2020	14.247000	Measured
2020	 4.745000	Measured
2020	-1.000000	Measured
2020	 0.456000	Measured
2020	 8.538000	Measured
2020	 0.013000	Measured
2020	 3.409000	Measured
2020	 0.521000	Measured
2020	23.860000	Measured
2020	 9.351000	Measured
2020	 1.911000	Measured
2020	 7.650000	Measured
2020	13.340000	Measured
2020	 4.621000	Measured
2020	 7.812000	Measured
2020	 8.357000	Measured
2020	 0.335000	Measured
2020	 0.016000	Measured
2020	 0.575000	Measured
2020	 4.789000	Measured
2020	 8.210000	Measured
2020	 0.734000	Measured
2020	 0.029000	Measured
2020	-1.000000	Measured
2020	24.186000	Measured
2020	14.995000	Measured
2020	19.362000	Measured
2020	       NA	Measured
2020	       NA	Measured
2020	 8.283000	Measured
2020	 0.303000	Measured
2020	 0.075000	Measured
2020	 0.084000	Measured
2020	13.293000	Measured
2021	 0.182000	Measured
2021	12.540000	Measured
2021	 7.822000	Measured
2021	 4.472000	Measured
2021	       NA	Measured
2021	 1.852000	Measured
2021	 7.190000	Measured
2021	-1.000000	Measured
2021	 0.835000	Measured
2021	13.630000	Measured
2021	24.170000	Measured
2021	 5.022000	Measured
2021	 0.175000	Measured
2021	 1.257000	Measured
2021	 7.633000	Measured
2021	 5.610000	Measured
2021	 0.388000	Measured
2021	 0.142000	Measured
2021	-1.000000	Measured
2021	 1.555000	Measured
2021	14.085000	Measured
2021	 2.643000	Measured
2021	 1.155000	Measured
2021	-1.000000	Measured
2021	 2.313000	Measured
2021	11.765000	Measured
2021	 0.159000	Measured
2021	 1.890000	Measured
2021	17.448000	Measured
2021	 4.474000	Measured
2021	 3.348000	Measured
2021	 0.044000	Measured
2021	10.314000	Measured
2021	 1.415000	Measured
2021	 0.138000	Measured
2021	 1.440000	Measured
2021	 0.637000	Measured
2021	 1.166000	Measured
2021	20.650000	Measured
2021	 0.021000	Measured
2021	 0.979000	Measured
2021	 0.989000	Measured
2021	 0.283000	Measured
2021	 0.756000	Measured
2021	 0.808000	Measured
2021	-1.000000	Measured
2021	 0.649000	Measured
2021	 0.225000	Measured
2021	 1.252000	Measured
2021	 0.595000	Measured
2021	21.110000	Measured
2021	 3.208000	Measured
2021	 9.660000	Measured
2021	 8.189000	Measured
2021	 0.010000	Measured
2021	 0.009000	Measured
2021	 0.681000	Measured
2021	-1.000000	Measured
2021	 0.009000	Measured
2021	-1.000000	Measured
2021	 4.795000	Measured
2021	 2.449000	Measured
2021	 5.224000	Measured
2021	 3.129000	Measured
2021	 1.660000	Measured
2021	-1.000000	Measured
2021	-1.000000	Measured
2021	 5.707000	Measured
2021	 0.062000	Measured
2021	-1.000000	Measured
2021	-1.000000	Measured
2021	10.025000	Measured
2021	 0.326000	Measured
2021	       NA	Measured
2021	 3.964000	Measured
2021	-1.000000	Measured
2021	20.320000	Measured
2021	 2.458000	Measured
2021	 0.873000	Measured
2021	 0.094000	Measured
2021	 1.570000	Measured
2021	 3.048000	Measured
2021	 0.342000	Measured
2021	 0.676000	Measured
2021	 0.024000	Measured
2021	 0.296000	Measured
2021	 6.083000	Measured
2021	14.590000	Measured
2021	 2.158000	Measured
2021	-1.000000	Measured
2021	 0.036000	Measured
2021	 1.208000	Measured
2021	 1.305000	Measured
2021	 0.180000	Measured
2021	-1.000000	Measured
2021	-1.000000	Measured
2021	15.304000	Measured
2021	-1.000000	Measured
2021	 0.027000	Measured
2021	 0.689000	Measured
2021	-1.000000	Measured
2021	-1.000000	Measured
2021	 0.034000	Measured
2021	 0.371000	Measured
2021	 0.425000	Measured
2021	 0.643000	Measured
2021	19.630000	Measured
2021	12.693000	Measured
2021	 0.606000	Measured
2021	14.715000	Measured
2021	 0.023000	Measured
2021	 0.797000	Measured
2021	 0.028000	Measured
2021	       NA	Measured
2021	 0.017000	Measured
2021	 0.298000	Measured
2021	-1.000000	Measured
2021	 5.139000	Measured
2021	19.980000	Measured
2021	 0.218000	Measured
2021	 3.472000	Measured
2021	 0.521000	Measured
2021	 0.245000	Measured
2021	 0.011000	Measured
2021	 0.072000	Measured
2021	 0.034000	Measured
2021	 0.040000	Measured
2021	 0.048000	Measured
2021	 0.045000	Measured
2021	       NA	Measured
2021	 2.900000	Measured
2021	 0.050000	Measured
2021	       NA	Measured
2021	 0.068000	Measured
2021	 0.045000	Measured
2021	 0.095000	Measured
2021	 0.354000	Measured
2021	       NA	Measured
2021	       NA	Measured
2021	-1.000000	Measured
2021	21.695000	Measured
2021	 0.107000	Measured
2021	19.500000	Measured
2021	 0.045000	Measured
