survey_year	doc	type
2009	  9.61027	Simulated
2009	  3.73517	Simulated
2009	  4.97264	Simulated
2009	 12.21987	Simulated
2009	  8.02568	Simulated
2009	  6.26800	Simulated
2009	  8.64023	Simulated
2010	  7.98965	Simulated
2010	  5.28624	Simulated
2010	  4.62112	Simulated
2010	  7.01680	Simulated
2010	  8.37720	Simulated
2010	  5.51775	Simulated
2010	  9.17857	Simulated
2010	  5.81902	Simulated
2010	  6.55944	Simulated
2010	  7.40785	Simulated
2010	  7.18356	Simulated
2011	  7.37979	Simulated
2011	  7.45048	Simulated
2011	  8.29120	Simulated
2011	  7.38824	Simulated
2011	  4.95045	Simulated
2011	  4.44130	Simulated
2011	  4.43072	Simulated
2011	  5.15224	Simulated
2011	  6.80860	Simulated
2011	  9.68320	Simulated
2011	  8.28800	Simulated
2012	  5.81702	Simulated
2012	  8.09000	Simulated
2012	  9.39545	Simulated
2012	  8.41624	Simulated
2012	  9.69294	Simulated
2012	  5.23452	Simulated
2012	 82.52365	Simulated
2012	  5.59071	Simulated
2012	  5.27687	Simulated
2012	  5.00301	Simulated
2013	  7.29160	Simulated
2013	  5.60935	Simulated
2013	  8.86443	Simulated
2013	  8.55800	Simulated
2013	  8.53202	Simulated
2013	  5.39259	Simulated
2013	  7.00553	Simulated
2013	105.76306	Simulated
2013	  7.18080	Simulated
2013	  5.83820	Simulated
2013	  6.02800	Simulated
2014	  6.23881	Simulated
2014	  6.63880	Simulated
2014	  7.15207	Simulated
2014	  7.52824	Simulated
2014	  8.69440	Simulated
2014	  4.99270	Simulated
2014	  4.41447	Simulated
2014	  8.94106	Simulated
2014	  6.64552	Simulated
2014	  6.50689	Simulated
2015	  6.00626	Simulated
2015	  5.98397	Simulated
2015	  8.52280	Simulated
2015	  6.05864	Simulated
2015	  7.97646	Simulated
2015	  6.16358	Simulated
2015	  7.83442	Simulated
2015	  7.54240	Simulated
2015	  8.09118	Simulated
2015	  8.72482	Simulated
2015	  6.16634	Simulated
2016	  6.02170	Simulated
2016	  8.45725	Simulated
2016	  8.92575	Simulated
2016	  6.55320	Simulated
2016	  6.62854	Simulated
2016	  7.98561	Simulated
2016	  8.65183	Simulated
2016	  6.93641	Simulated
2016	  4.20307	Simulated
2016	  6.43680	Simulated
2017	  6.75720	Simulated
2017	  6.86577	Simulated
2017	  7.36000	Simulated
2017	  7.13749	Simulated
2017	  6.45794	Simulated
2017	  4.88123	Simulated
2017	  7.11762	Simulated
2017	  6.61157	Simulated
2017	 10.04465	Simulated
2017	  6.15832	Simulated
2017	  7.24040	Simulated
2018	  5.73270	Simulated
2018	  5.92544	Simulated
2018	  4.96060	Simulated
2018	  9.00385	Simulated
2018	 15.86860	Simulated
2018	  6.79202	Simulated
2018	  4.18660	Simulated
2018	126.09253	Simulated
2018	 10.37400	Simulated
2018	  6.10880	Simulated
2018	  5.56320	Simulated
2019	  4.29092	Simulated
2019	  8.34040	Simulated
2019	  8.14097	Simulated
2019	  5.95286	Simulated
2019	  6.32465	Simulated
2019	  6.90269	Simulated
2019	 11.06211	Simulated
2019	 10.08188	Simulated
2019	  7.12805	Simulated
2019	  4.98407	Simulated
2020	  5.60336	Simulated
2020	  5.54440	Simulated
2020	  6.89446	Simulated
2020	  5.80126	Simulated
2020	  8.10028	Simulated
2020	  5.69326	Simulated
2020	 53.57237	Simulated
2020	  5.54075	Simulated
2020	  4.34071	Simulated
2020	  6.10437	Simulated
2020	  5.35920	Simulated
2021	  6.99068	Simulated
2021	  6.36360	Simulated
2021	  5.22440	Simulated
2021	  7.34640	Simulated
2021	 17.57080	Simulated
2021	  7.34120	Simulated
2021	  5.60584	Simulated
2021	  2.94153	Simulated
2021	  3.32097	Simulated
2021	  2.50063	Simulated
2022	  5.23521	Simulated
2022	  5.27840	Simulated
2022	  7.10080	Simulated
2022	  6.68120	Simulated
2022	  8.16797	Simulated
2022	  8.11061	Simulated
2022	  7.70880	Simulated
2022	 14.97600	Simulated
2022	  6.10888	Simulated
2022	  3.45844	Simulated
2022	  2.47163	Simulated
2023	  3.58510	Simulated
2023	  4.45406	Simulated
2023	  5.06919	Simulated
2023	  7.48373	Simulated
2023	  8.35640	Simulated
2023	  8.33920	Simulated
2023	 11.15438	Simulated
2023	  7.07360	Simulated
2023	  6.58640	Simulated
2023	  6.80911	Simulated
2023	  5.09483	Simulated
